Statement,Data,Period,"March 1, 2024 - March 28, 2024"
Dividends,Data,USD,2024-03-15,AAPL(FAKE) Cash Dividend,5.04
Withholding Tax,Data,USD,2024-03-15,AAPL(FAKE) Cash Dividend,-0.76
Dividends,Data,USD,2024-03-24,MSFT(FAKE) Cash Dividend,4.37
Withholding Tax,Data,USD,2024-03-24,MSFT(FAKE) Cash Dividend,-0.66
Dividends,Data,USD,2024-03-08,KO(FAKE) Cash Dividend,3.39
Withholding Tax,Data,USD,2024-03-08,KO(FAKE) Cash Dividend,-0.51
Dividends,Data,USD,2024-03-07,PEP(FAKE) Cash Dividend,6.02
Withholding Tax,Data,USD,2024-03-07,PEP(FAKE) Cash Dividend,-0.9
Dividends,Data,USD,2024-03-17,XOM(FAKE) Cash Dividend,5.99
Withholding Tax,Data,USD,2024-03-17,XOM(FAKE) Cash Dividend,-0.9
Dividends,Data,USD,2024-03-24,V(FAKE) Cash Dividend,6.01
Withholding Tax,Data,USD,2024-03-24,V(FAKE) Cash Dividend,-0.9
Dividends,Data,USD,2024-03-03,MA(FAKE) Cash Dividend,10.91
Withholding Tax,Data,USD,2024-03-03,MA(FAKE) Cash Dividend,-1.64
Dividends,Data,EUR,2024-03-21,NESN(FAKE) Cash Dividend,9.04
Withholding Tax,Data,EUR,2024-03-21,NESN(FAKE) Cash Dividend,-1.36
Dividends,Data,EUR,2024-03-20,SAP(FAKE) Cash Dividend,10.45
Withholding Tax,Data,EUR,2024-03-20,SAP(FAKE) Cash Dividend,-1.57
Dividends,Data,GBP,2024-03-23,RIO(FAKE) Cash Dividend,6.86
Withholding Tax,Data,GBP,2024-03-23,RIO(FAKE) Cash Dividend,-1.03
Dividends,Data,GBP,2024-03-31,ULVR(FAKE) Cash Dividend,3.36
Withholding Tax,Data,GBP,2024-03-31,ULVR(FAKE) Cash Dividend,-0.5
